Date,Open,High,Low,Close,Volume
27-Jul-16,134.15,137.50,134.15,136.75,138604
26-Jul-16,132.05,133.40,131.40,132.85,62280
25-Jul-16,130.20,132.65,129.65,131.70,63811
22-Jul-16,130.10,131.65,129.55,130.10,43022
21-Jul-16,131.60,133.20,130.75,130.90,132322
20-Jul-16,127.20,134.60,126.20,131.30,179146
19-Jul-16,126.65,128.10,125.35,127.40,78253
18-Jul-16,128.05,130.20,126.90,127.50,58612
15-Jul-16,127.50,128.20,125.50,127.55,58719
14-Jul-16,126.10,129.40,126.10,127.65,65010
13-Jul-16,127.00,128.70,125.15,125.25,77670
12-Jul-16,123.95,128.40,123.95,127.35,105646
11-Jul-16,123.20,125.30,122.20,123.55,75422
8-Jul-16,117.60,122.65,117.30,121.70,97961
7-Jul-16,118.85,121.35,116.85,116.85,101234
6-Jul-16,118.90,119.45,116.05,118.10,142703
5-Jul-16,121.50,121.65,118.60,119.05,115464
4-Jul-16,126.50,127.25,120.45,121.65,111211
1-Jul-16,122.40,126.65,121.50,126.00,125608
30-Jun-16,120.80,121.50,117.90,120.40,186829
29-Jun-16,126.90,126.95,119.75,120.10,240152
28-Jun-16,123.90,126.30,122.15,123.20,182438
27-Jun-16,128.30,128.95,119.75,120.10,217805
24-Jun-16,119.00,129.40,116.90,127.60,374850
23-Jun-16,131.75,134.95,130.65,134.95,94885
22-Jun-16,133.00,133.80,130.60,130.60,92239
21-Jun-16,134.30,134.60,132.00,132.00,74038
20-Jun-16,133.80,136.05,132.40,134.10,81594
17-Jun-16,127.50,129.45,127.35,129.20,119034
16-Jun-16,127.30,128.45,124.25,125.50,94742
15-Jun-16,129.00,130.15,126.70,128.75,86058
14-Jun-16,127.00,128.90,126.00,126.80,103860
13-Jun-16,130.45,131.40,127.45,128.65,85922
10-Jun-16,133.55,133.85,131.00,132.05,84373
9-Jun-16,137.55,137.55,132.85,133.75,88167
8-Jun-16,138.00,140.00,136.55,136.95,67767
7-Jun-16,138.10,140.35,138.00,139.40,90020
6-Jun-16,136.90,138.25,135.30,137.35,71472
3-Jun-16,140.95,141.40,134.95,134.95,96086
2-Jun-16,137.00,141.35,136.50,140.20,80885
1-Jun-16,139.00,139.95,136.10,137.15,101193
31-May-16,141.60,143.00,136.90,138.75,363897
30-May-16,139.70,142.60,139.70,141.35,110426
27-May-16,139.20,140.35,137.55,140.05,87329
26-May-16,139.00,140.30,138.00,139.50,85527
25-May-16,138.40,139.70,137.95,138.55,76321
24-May-16,135.00,137.80,133.55,137.05,92560
23-May-16,135.50,136.35,133.45,133.75,49643
20-May-16,136.60,136.65,134.40,135.50,43880
19-May-16,133.30,137.70,133.05,134.90,52410
18-May-16,131.80,134.90,131.50,134.65,80449
17-May-16,136.00,138.00,132.00,132.50,90823
13-May-16,135.15,136.75,132.85,136.15,73047
12-May-16,136.95,138.15,134.90,135.50,62393
11-May-16,138.15,139.55,135.55,138.40,79683
10-May-16,136.05,140.25,135.50,139.55,95315
9-May-16,135.00,136.90,132.85,134.20,103702
6-May-16,129.95,133.50,128.25,131.90,86096
5-May-16,131.50,132.40,128.70,130.15,65927
4-May-16,133.00,134.30,131.15,131.55,91671
3-May-16,137.85,137.85,132.30,133.20,99250
2-May-16,139.20,139.80,136.55,137.30,80363
29-Apr-16,140.95,142.40,138.35,138.35,123425
28-Apr-16,140.15,142.30,138.80,141.85,124562
27-Apr-16,137.85,141.95,137.40,141.55,168283
26-Apr-16,134.75,137.50,134.10,136.35,109463
25-Apr-16,136.00,136.20,132.45,134.55,101148
22-Apr-16,134.60,138.95,131.40,136.65,265184
21-Apr-16,138.00,142.00,134.95,139.05,332222
20-Apr-16,128.15,136.10,128.15,135.10,275476
19-Apr-16,126.00,129.05,125.70,129.05,89719
18-Apr-16,122.85,126.30,122.00,125.30,68237
15-Apr-16,126.85,127.05,124.15,124.85,70111
14-Apr-16,126.90,128.30,124.25,128.30,122385
13-Apr-16,123.00,127.30,123.00,126.20,96258
12-Apr-16,122.50,123.20,120.10,121.50,91859
11-Apr-16,121.40,122.40,119.00,121.40,84681
8-Apr-16,120.30,123.90,120.15,120.35,104744
7-Apr-16,120.70,121.90,119.10,120.45,85907
6-Apr-16,121.00,121.70,117.65,120.25,101667
5-Apr-16,121.50,121.75,117.80,119.65,131685
4-Apr-16,123.80,124.50,121.80,123.65,70145
1-Apr-16,127.00,127.15,122.45,123.35,77122
31-Mar-16,127.65,128.85,126.20,127.55,65522
30-Mar-16,126.25,129.45,125.40,128.90,88517
29-Mar-16,126.75,128.90,124.30,125.80,89188
24-Mar-16,128.80,130.00,126.45,126.45,84843
23-Mar-16,133.05,133.85,129.30,130.25,55965
22-Mar-16,130.35,133.55,128.00,133.55,91862
21-Mar-16,129.65,132.80,128.70,129.50,77172
18-Mar-16,130.40,131.45,129.25,129.95,150778
17-Mar-16,132.05,132.85,127.25,130.15,74609
16-Mar-16,128.85,130.70,128.45,130.70,134047
15-Mar-16,130.00,130.70,125.30,128.30,120027
14-Mar-16,131.60,134.55,130.45,132.40,101194
11-Mar-16,128.40,130.90,126.85,130.45,87293
10-Mar-16,129.90,132.45,125.25,125.25,134575
9-Mar-16,126.70,131.55,125.30,130.45,165289
8-Mar-16,133.60,134.10,129.35,130.30,142637
7-Mar-16,137.00,137.55,132.20,135.75,125691
4-Mar-16,134.85,139.35,134.85,138.50,164783
3-Mar-16,134.30,135.80,131.70,135.30,132269
2-Mar-16,132.00,134.30,130.80,134.20,130482
1-Mar-16,128.25,131.60,128.00,131.00,135912
29-Feb-16,120.10,128.80,119.10,128.80,189500
26-Feb-16,118.30,122.25,117.30,122.25,119099
25-Feb-16,118.60,119.05,115.85,116.60,78245
24-Feb-16,120.95,121.25,113.65,117.00,170653
23-Feb-16,122.70,123.50,120.00,120.80,61505
22-Feb-16,119.50,123.80,119.50,122.95,114257
19-Feb-16,124.95,124.95,117.95,119.45,144635
18-Feb-16,124.25,126.80,122.55,125.15,145978
17-Feb-16,118.20,123.45,117.85,123.45,148778
16-Feb-16,120.85,121.05,115.45,117.75,104151
15-Feb-16,114.25,119.15,113.80,118.65,149059
12-Feb-16,111.00,112.20,109.20,110.60,116183
11-Feb-16,111.00,111.00,106.65,108.95,150382
10-Feb-16,110.95,112.70,109.35,111.30,129204
9-Feb-16,112.85,113.25,107.10,109.50,175864
8-Feb-16,120.00,120.65,111.30,111.70,134102
5-Feb-16,115.00,121.35,114.40,118.85,169541
4-Feb-16,116.45,116.45,112.05,115.30,94659
3-Feb-16,117.10,117.20,113.20,113.95,134558
2-Feb-16,120.10,120.10,117.20,117.65,87431
1-Feb-16,120.75,121.65,117.90,119.70,70452
29-Jan-16,123.40,123.80,118.90,120.60,123186
28-Jan-16,125.10,126.95,120.90,121.55,74408
27-Jan-16,124.50,126.15,122.40,126.15,69655
26-Jan-16,121.45,125.05,119.05,124.95,98913
25-Jan-16,127.00,127.00,122.20,123.00,84384
22-Jan-16,126.30,128.00,123.80,125.00,150264
21-Jan-16,115.70,122.60,115.35,122.40,217242
20-Jan-16,119.55,119.65,115.50,116.05,224423
19-Jan-16,119.15,122.65,118.80,121.75,213441
