psoda,pfries,pentree,wagest,nmgrs,nregs,hrsopen,emp,compown,chain,density,crmrte,state,prpblck,prppov,prpncar,hseval,nstores,income,county,NJ,BK,KFC,RR
1.06,0.89,1.06,5.0,3.0,2.0,12.5,25.0,0,4,1995.0,0.0288791,1,0.0323523,0.026696,0.0639248,218600.0,3,57424.0,21,1,0,0,0
1.12,1.02,1.06,5.0,4.0,7.0,17.0,20.5,1,3,1995.0,0.0288791,1,0.0323523,0.026696,0.0639248,218600.0,3,57424.0,21,1,0,0,1
1.1,0.97,1.17,4.25,,4.0,18.0,29.0,1,1,18138.0,0.0672456,1,0.2046583,0.1691744,0.304244,163000.0,2,30877.0,24,1,1,0,0
1.1,1.02,1.06,5.25,3.0,6.0,17.0,30.0,1,3,822.0,0.0205128,1,0.0050961,0.0085349,0.0102362,292400.0,1,82797.0,21,1,0,0,1
1.06,1.01,2.56,4.5,2.0,3.0,11.0,3.5,0,2,7761.0,0.0759336,1,0.3598951,0.0931701,0.1330847,175600.0,5,47738.0,28,1,0,1,0
1.06,1.17,2.56,4.5,1.0,3.0,10.0,7.0,0,2,6970.0,0.0730606,1,0.3598951,0.0931701,0.1330847,175600.0,5,47738.0,26,1,0,1,0
1.12,1.02,1.06,4.95,3.0,5.0,11.5,12.5,1,3,6970.0,0.0730606,1,0.3598951,0.0931701,0.1330847,175600.0,5,47738.0,26,1,0,0,1
0.96,0.95,2.13,4.5,4.0,2.0,11.5,28.25,0,4,7761.0,0.0759336,1,0.636803,0.0816689,0.1053588,142300.0,1,48209.0,28,1,0,0,0
1.12,1.0,1.02,4.35,3.0,5.0,17.0,27.5,1,3,3229.0,0.0203021,1,0.0048807,0.0182062,0.0475192,196500.0,3,53961.0,28,1,0,0,1
1.06,0.95,1.01,5.3,4.0,3.0,16.0,13.0,1,1,3229.0,0.0203021,1,0.0048807,0.0182062,0.0475192,196500.0,3,53961.0,28,1,1,0,0
1.1,0.96,1.1,5.0,4.0,6.0,18.5,14.0,1,1,6842.0,0.0252389,1,0.0319843,0.0367507,0.0947038,209100.0,2,55878.0,2,1,1,0,0
1.18,1.07,1.17,5.0,4.0,6.0,19.0,31.0,0,3,6842.0,0.0252389,1,0.0319843,0.0367507,0.0947038,209100.0,2,55878.0,2,1,0,0,1
1.09,1.12,1.06,5.05,,4.0,18.0,28.5,1,3,3885.0,0.0450115,1,0.0046135,0.038405,0.1214642,174600.0,1,47113.0,2,1,0,0,1
1.01,0.95,1.03,5.0,4.0,6.0,15.5,20.0,1,1,1687.0,0.0507632,1,0.0032339,0.023415,0.0392157,186800.0,1,41196.0,2,1,1,0,0
1.12,1.02,1.06,4.5,3.0,4.0,11.5,20.25,0,3,2300.0,0.0231569,1,0.131472,0.0182582,0.0390742,205000.0,2,62927.0,28,1,0,0,1
1.07,1.02,0.74,4.5,3.0,6.0,16.5,19.5,1,3,1863.0,0.0380032,1,0.0131481,0.0155316,0.0197224,473400.0,1,136529.0,10,1,0,0,1
1.06,0.95,0.95,4.5,3.0,3.0,16.0,12.5,0,1,2499.0,0.0536385,1,0.0668875,0.0278037,0.0266369,161300.0,3,54216.0,18,1,1,0,0
1.02,1.07,0.95,5.0,4.0,4.0,17.0,22.0,0,3,2499.0,0.0536385,1,0.0668875,0.0278037,0.0266369,161300.0,3,54216.0,18,1,0,0,1
1.02,0.95,1.04,4.25,1.0,4.0,16.0,13.5,0,1,2581.0,0.0302534,1,0.0318239,0.0257156,0.0709232,216500.0,1,58339.0,5,1,1,0,0
1.06,0.85,2.34,5.0,5.0,3.0,10.5,14.0,1,2,5558.0,0.0644691,1,0.0362969,0.0334931,0.1021236,176800.0,4,50968.0,12,1,0,1,0
1.02,,1.06,,3.0,,17.0,22.5,1,3,5558.0,0.0644691,1,0.0362969,0.0334931,0.1021236,176800.0,4,50968.0,12,1,0,0,1
1.06,0.95,0.95,4.75,3.0,3.0,16.5,12.5,0,1,5558.0,0.0644691,1,0.0362969,0.0334931,0.1021236,176800.0,4,50968.0,12,1,1,0,0
1.06,0.95,0.95,4.25,3.0,2.0,16.0,17.5,0,1,41437.0,0.060522,1,0.0485866,0.1676967,0.3827989,165400.0,3,29319.0,12,1,1,0,0
1.17,1.06,1.01,4.25,3.0,5.0,16.0,24.0,0,3,41437.0,0.060522,1,0.0485866,0.1676967,0.3827989,165400.0,3,29319.0,12,1,0,0,1
1.06,1.06,2.53,5.0,2.0,2.0,10.0,8.0,0,2,4441.0,0.0250779,1,0.0424391,0.0165798,0.0401912,248500.0,1,76689.0,28,1,0,1,0
0.96,1.0,1.03,4.25,4.0,4.0,16.5,20.0,0,1,41437.0,0.060522,1,0.0392887,0.1583852,0.39587,160300.0,3,30587.0,2,1,1,0,0
1.17,0.95,0.95,4.25,3.0,4.0,14.5,11.5,1,1,2424.0,0.0879738,1,0.0235403,0.0518435,0.1062685,210800.0,2,59397.0,12,1,1,0,0
1.12,1.07,1.06,,2.0,6.0,11.5,17.25,1,3,4030.0,0.0528866,1,0.0422394,0.0474361,0.0859714,155300.0,4,48350.0,18,1,0,0,1
,1.12,1.12,4.25,5.0,6.0,12.5,20.0,0,1,4030.0,0.0528866,1,0.0422394,0.0474361,0.0859714,155300.0,4,48350.0,18,1,1,0,0
1.06,0.95,1.06,4.25,4.0,2.0,11.5,32.5,0,4,4030.0,0.0528866,1,0.0422394,0.0474361,0.0859714,155300.0,4,48350.0,18,1,0,0,0
1.02,1.01,0.52,4.25,4.0,3.0,15.0,37.5,0,1,11401.0,0.14823,1,0.6599238,0.3292359,0.6272376,132300.0,3,20323.0,10,1,1,0,0
1.06,0.85,2.34,4.75,3.0,5.0,11.0,6.75,1,2,11401.0,0.14823,1,0.8991615,0.4184797,0.6166425,71100.0,1,15919.0,10,1,0,1,0
1.06,0.85,2.34,4.25,4.0,4.0,11.0,8.0,1,2,11401.0,0.14823,1,0.214263,0.2703646,0.4311189,146800.0,3,24773.0,10,1,0,1,0
1.12,1.02,1.06,4.25,5.0,4.0,17.0,18.0,0,1,11401.0,0.14823,1,0.214263,0.2703646,0.4311189,146800.0,3,24773.0,10,1,1,0,0
1.05,0.94,1.07,4.25,3.0,3.0,16.0,18.0,1,1,11401.0,0.14823,1,0.0627508,0.1446121,0.3051076,117600.0,2,32241.0,10,1,1,0,0
1.06,0.85,2.34,4.75,3.0,4.0,11.0,3.5,0,2,11401.0,0.14823,1,0.0627508,0.1446121,0.3051076,117600.0,2,32241.0,10,1,0,1,0
1.06,0.95,1.11,4.25,5.0,4.0,16.0,18.0,0,1,11401.0,0.14823,1,0.4554334,0.2722042,0.4581265,95400.0,3,24189.0,10,1,1,0,0
1.06,0.85,2.34,4.95,2.0,3.0,12.0,7.0,1,2,11401.0,0.14823,1,0.4554334,0.2722042,0.4581265,95400.0,3,24189.0,10,1,0,1,0
1.18,1.02,1.06,4.25,5.0,6.0,19.0,19.5,1,3,11401.0,0.14823,1,0.9624618,0.3279841,0.5172657,81300.0,1,21790.0,10,1,0,0,1
1.12,1.02,1.02,4.25,4.0,6.0,17.0,24.0,1,3,6405.0,0.0419001,1,0.035449,0.0516433,0.1320658,161800.0,3,44883.0,24,1,0,0,1
1.06,0.98,2.03,4.75,3.0,2.0,12.5,11.0,0,4,10368.0,0.0507702,1,0.035449,0.0516433,0.1320658,161800.0,3,44883.0,10,1,0,0,0
1.02,0.95,0.95,4.25,3.0,3.0,17.0,12.5,0,1,7970.0,0.0252408,1,0.0144769,0.049851,0.0874396,185300.0,1,51451.0,10,1,1,0,0
1.06,0.85,2.34,4.62,8.0,4.0,13.0,25.0,1,2,21792.0,0.1247829,1,0.6982505,0.1237119,0.2928742,116600.0,2,35832.0,10,1,0,1,0
1.06,0.85,2.34,5.0,2.0,3.0,11.5,7.0,1,2,9410.0,0.0881439,1,0.3724901,0.1934995,0.2507019,117300.0,3,28417.0,28,1,0,1,0
1.19,1.19,1.06,4.25,4.0,5.0,18.0,26.25,1,3,9410.0,0.0881439,1,0.3724901,0.1934995,0.2507019,117300.0,3,28417.0,28,1,0,0,1
0.91,0.91,1.94,4.25,4.0,2.0,11.5,14.0,0,4,9410.0,0.0881439,1,0.0881337,0.1346107,0.2439099,133700.0,2,31887.0,28,1,0,0,0
1.27,1.27,2.24,4.5,3.0,5.0,17.0,20.0,0,3,7524.0,0.0487349,1,0.3865509,0.0504637,0.1348285,139500.0,1,46803.0,28,1,0,0,1
1.06,0.91,0.98,4.25,3.0,3.0,16.0,16.5,1,1,9850.0,0.0254588,1,0.0067308,0.0334977,0.0735323,159800.0,2,50665.0,28,1,1,0,0
1.06,0.95,0.95,,3.0,3.0,16.0,17.5,0,1,7794.0,0.0788823,1,0.4058144,0.0600893,0.0990379,138500.0,2,46966.0,28,1,1,0,0
1.27,1.27,1.06,4.39,3.0,5.0,17.0,10.0,1,3,9410.0,0.0881439,1,0.1115545,0.1091816,0.2028275,167200.0,2,37367.0,28,1,0,0,1
0.91,0.91,1.06,,4.0,2.0,11.5,15.0,0,4,9410.0,0.0881439,1,0.1115545,0.1091816,0.2028275,167200.0,2,37367.0,28,1,0,0,0
1.17,0.95,0.63,4.25,4.0,3.0,19.0,37.0,0,1,15600.0,0.0897754,1,0.4766138,0.2363158,0.4307489,123400.0,3,29740.0,12,1,1,0,0
1.06,0.85,2.34,4.75,4.0,5.0,12.0,13.0,1,2,15600.0,0.0897754,1,0.4766138,0.2363158,0.4307489,123400.0,3,29740.0,12,1,0,1,0
1.19,0.94,0.85,4.62,4.0,5.0,17.0,28.0,1,3,15600.0,0.0897754,1,0.5331899,0.1597511,0.3240626,124600.0,2,35731.0,12,1,0,0,1
1.17,0.95,0.95,4.25,4.0,5.0,18.0,22.0,1,3,15600.0,0.0897754,1,0.5331899,0.1597511,0.3240626,124600.0,2,35731.0,12,1,0,0,1
1.06,0.95,0.95,4.5,2.0,4.0,11.5,9.5,1,4,15600.0,0.0897754,1,0.1520273,0.2041798,0.4508839,116000.0,3,30577.0,12,1,0,0,0
1.06,0.95,0.95,4.25,2.0,3.0,17.0,15.0,0,1,15600.0,0.0897754,1,0.1520273,0.2041798,0.4508839,116000.0,3,30577.0,12,1,1,0,0
1.06,1.0,1.06,4.25,4.0,3.0,17.5,14.25,0,1,15600.0,0.0897754,1,0.0462981,0.15092,0.371198,131800.0,2,34443.0,12,1,1,0,0
1.06,1.02,0.95,4.5,3.0,3.0,17.0,16.5,0,1,15600.0,0.0897754,1,0.0462981,0.15092,0.371198,131800.0,2,34443.0,12,1,1,0,0
1.06,0.95,1.02,4.5,5.0,3.0,16.0,45.0,0,1,3752.0,0.0273268,1,0.0039605,0.0262524,0.0316048,222500.0,1,64818.0,21,1,1,0,0
1.04,1.12,1.02,4.25,3.0,4.0,16.0,17.5,0,1,1131.0,0.0377738,1,0.000751,0.0639788,0.0733945,128200.0,2,42755.0,27,1,1,0,0
1.12,1.02,1.02,5.0,3.0,5.0,17.0,18.0,1,3,4034.0,0.0726935,1,0.0166947,0.0344314,0.0673256,190900.0,4,51848.0,24,1,0,0,1
1.06,1.03,1.06,5.0,3.0,2.0,13.5,15.25,0,4,4034.0,0.0726935,1,0.0166947,0.0344314,0.0673256,190900.0,4,51848.0,24,1,0,0,0
,,,4.25,3.0,3.0,17.0,23.0,0,1,697.0,0.0236247,1,0.031873,0.035029,0.025974,275900.0,3,64367.0,2,1,1,0,0
1.27,1.04,1.12,4.87,3.0,7.0,17.0,17.0,1,3,697.0,0.0236247,1,0.031873,0.035029,0.025974,275900.0,3,64367.0,2,1,0,0,1
1.27,1.07,2.13,4.87,4.0,5.0,17.0,32.0,1,3,4170.0,0.0191571,1,0.0,0.0361626,0.0375313,217400.0,2,56380.0,2,1,0,0,1
1.06,1.02,0.95,5.0,4.0,4.0,16.0,23.5,0,1,4170.0,0.0191571,1,0.0,0.0361626,0.0375313,217400.0,2,56380.0,2,1,1,0,0
1.02,0.8,,5.25,4.0,3.0,15.0,30.0,0,1,1318.0,0.0130866,1,0.0115862,0.0152639,0.015613,215100.0,1,66569.0,2,1,1,0,0
1.06,0.95,0.95,4.85,3.3,3.0,16.0,25.75,0,1,4759.0,0.016501,1,0.0047325,0.0277091,0.0333031,203100.0,1,61487.0,2,1,1,0,0
1.06,0.95,0.95,4.5,3.0,3.0,16.0,27.5,0,1,1889.0,0.0567358,1,0.0099893,0.0229062,0.0320464,241800.0,7,65000.0,24,1,1,0,0
1.06,0.98,1.06,4.25,,2.0,11.5,14.5,0,4,1889.0,0.0567358,1,0.0099893,0.0229062,0.0320464,241800.0,7,65000.0,24,1,0,0,0
1.06,0.98,1.06,5.0,3.0,2.0,12.0,31.5,0,4,1889.0,0.0567358,1,0.0099893,0.0229062,0.0320464,241800.0,7,65000.0,24,1,0,0,0
1.17,1.06,1.17,4.5,6.0,3.0,13.5,12.5,0,1,1889.0,0.0567358,1,0.0099893,0.0229062,0.0320464,241800.0,7,65000.0,24,1,1,0,0
1.06,0.95,0.95,4.25,3.0,3.0,17.0,24.0,0,1,1889.0,0.0567358,1,0.0099893,0.0229062,0.0320464,241800.0,7,65000.0,24,1,1,0,0
1.06,0.98,2.13,5.0,2.0,2.0,13.5,22.5,0,4,1889.0,0.0567358,1,0.0099893,0.0229062,0.0320464,241800.0,7,65000.0,24,1,0,0,0
1.06,0.85,1.11,4.8,4.0,,15.5,10.0,0,1,16693.0,0.0746676,1,0.3694827,0.2851345,0.43034,107000.0,1,21978.0,24,1,1,0,0
1.17,0.95,0.95,4.25,3.0,4.0,18.0,13.5,0,1,16693.0,0.0746676,1,0.5422576,0.1285608,0.2276589,142200.0,2,31639.0,24,1,1,0,0
1.06,1.06,2.45,4.25,3.0,3.0,12.0,3.5,0,2,16693.0,0.0746676,1,0.4859012,0.2214113,0.3024055,111100.0,1,26039.0,24,1,0,1,0
1.12,1.02,1.06,4.75,3.0,4.0,16.0,16.0,1,3,9262.0,0.0609463,1,0.2498173,0.0698492,0.1487301,186900.0,6,46255.0,2,1,0,0,1
1.17,1.17,1.38,5.75,2.0,1.0,10.5,10.0,1,4,9262.0,0.0609463,1,0.2498173,0.0698492,0.1487301,186900.0,6,46255.0,2,1,0,0,0
1.12,1.02,1.02,4.25,4.0,6.0,16.0,11.0,0,3,9262.0,0.0609463,1,0.2498173,0.0698492,0.1487301,186900.0,6,46255.0,2,1,0,0,1
1.1,0.95,1.1,,5.0,4.0,19.0,22.5,1,1,9262.0,0.0609463,1,0.2498173,0.0698492,0.1487301,186900.0,6,46255.0,2,1,1,0,0
1.17,1.27,2.77,4.62,3.0,3.0,11.0,9.0,1,2,7364.0,0.0384749,1,0.0066904,0.0250457,0.0754631,204700.0,3,52919.0,2,1,0,1,0
1.12,1.02,1.06,4.25,3.0,4.0,17.0,18.0,1,3,9262.0,0.0609463,1,0.0066904,0.0250457,0.0754631,204700.0,3,52919.0,2,1,0,0,1
1.06,0.95,0.95,4.25,3.0,4.0,17.0,9.5,0,1,3900.0,0.0546059,1,0.0196445,0.0604782,0.1005291,195200.0,2,44018.0,2,1,1,0,0
1.02,,2.14,5.0,4.0,2.0,11.5,29.5,1,4,3900.0,0.0546059,1,0.0196445,0.0604782,0.1005291,195200.0,2,44018.0,2,1,0,0,0
1.2,1.06,1.06,4.5,3.0,5.0,17.0,23.5,1,3,8153.0,0.0246954,1,0.0394043,0.0331476,0.0967378,183500.0,1,51288.0,2,1,0,0,1
1.06,1.06,0.95,4.62,4.0,3.0,16.0,26.0,0,1,2553.0,0.0279219,1,0.0124784,0.0180528,0.0187336,270800.0,1,67716.0,2,1,1,0,0
1.12,1.02,1.06,4.32,3.0,6.0,17.0,14.5,1,3,6659.0,0.032736,1,0.0308927,0.0439196,0.0670911,185100.0,3,51561.0,2,1,0,0,1
1.06,0.95,0.95,4.75,3.0,3.0,17.0,17.5,0,1,9762.0,0.0315813,1,0.0282081,0.0612684,0.1099576,176500.0,1,40760.0,2,1,1,0,0
1.06,0.95,0.95,4.65,3.0,3.0,16.0,,0,1,7268.0,0.0252033,1,0.0125818,0.022337,0.0738916,207300.0,1,53168.0,2,1,1,0,0
1.06,1.06,2.66,4.25,2.0,4.0,10.0,17.5,0,2,1675.0,0.0209963,1,0.0024702,0.0217573,0.0247074,276300.0,1,66939.0,2,1,0,1,0
0.95,0.95,0.96,4.5,4.0,3.0,14.0,9.0,0,1,2371.0,0.1460885,1,0.0044543,0.0303532,0.0308618,245400.0,5,62509.0,2,1,1,0,0
1.12,1.06,1.06,4.75,4.0,5.0,17.0,20.5,1,3,2371.0,0.1460885,1,0.0044543,0.0303532,0.0308618,245400.0,5,62509.0,2,1,0,0,1
1.06,0.95,0.95,4.25,3.0,3.0,14.0,15.0,0,1,2371.0,0.1460885,1,0.0044543,0.0303532,0.0308618,245400.0,5,62509.0,2,1,1,0,0
1.06,0.95,0.95,4.5,3.0,3.0,16.0,17.5,0,1,3140.0,0.0103678,1,0.0105846,0.0253538,0.0431093,253200.0,1,68286.0,2,1,1,0,0
1.17,1.27,2.77,4.25,3.0,3.0,11.0,10.5,0,2,4943.0,0.0387335,1,0.0083144,0.0364397,0.0568231,190800.0,2,51257.0,2,1,0,1,0
1.07,1.02,1.02,4.25,3.0,3.0,17.0,35.0,0,1,4943.0,0.0387335,1,0.0083144,0.0364397,0.0568231,190800.0,2,51257.0,2,1,1,0,0
0.95,0.85,0.99,4.5,3.0,2.0,11.0,7.5,0,4,2237.0,0.0439381,1,0.3173136,0.1301452,0.1985242,179600.0,4,40656.0,7,1,0,0,0
1.18,0.88,0.98,4.75,4.0,3.0,16.0,21.0,0,1,11199.0,0.0872076,1,0.3173136,0.1301452,0.1985242,179600.0,4,40656.0,19,1,1,0,0
1.1,1.02,1.08,5.0,3.0,4.0,16.0,20.0,1,1,653.0,0.0239083,1,0.0331428,0.0397589,0.0754146,170000.0,2,47994.0,19,1,1,0,0
1.06,0.95,0.95,4.25,4.0,3.0,15.0,15.0,0,1,2379.0,0.0628261,1,0.1591312,0.0376937,0.0432113,165500.0,6,45771.0,19,1,1,0,0
1.12,1.02,1.06,4.75,5.0,6.0,12.5,12.0,0,1,2379.0,0.0628261,1,0.1591312,0.0376937,0.0432113,165500.0,6,45771.0,19,1,1,0,0
0.91,0.85,1.06,4.87,4.0,2.0,12.0,25.0,0,4,816.0,0.0348677,1,0.1591312,0.0376937,0.0432113,165500.0,6,45771.0,19,1,0,0,0
1.06,0.95,1.06,,4.0,2.0,12.0,40.0,0,4,2379.0,0.0628261,1,0.1591312,0.0376937,0.0432113,165500.0,6,45771.0,19,1,0,0,0
1.06,1.01,2.66,4.62,4.0,4.0,11.0,14.0,0,2,2379.0,0.0628261,1,0.1591312,0.0376937,0.0432113,165500.0,6,45771.0,19,1,0,1,0
1.02,1.07,1.06,5.0,4.0,5.0,16.0,26.0,1,3,886.0,0.0198009,1,0.0317188,0.0254828,0.0553923,217800.0,1,62194.0,19,1,0,0,1
1.06,,1.05,4.62,4.0,,16.0,25.5,0,1,668.0,0.0338325,1,0.0801578,0.0355372,0.0728962,176500.0,3,57697.0,19,1,1,0,0
0.95,0.85,1.06,5.0,4.0,2.0,11.5,17.5,1,4,668.0,0.0338325,1,0.0801578,0.0355372,0.0728962,176500.0,3,57697.0,19,1,0,0,0
1.12,1.02,0.95,4.75,4.0,5.0,16.0,20.0,0,3,3924.0,0.0195668,1,0.009186,0.0249824,0.0798983,168300.0,3,58039.0,19,1,0,0,1
1.06,0.95,0.98,4.85,10.0,4.0,17.5,26.0,0,1,3924.0,0.0195668,1,0.009186,0.0249824,0.0798983,168300.0,3,58039.0,19,1,1,0,0
0.91,0.79,2.34,,3.0,3.0,11.0,6.5,0,2,3924.0,0.0195668,1,0.009186,0.0249824,0.0798983,168300.0,3,58039.0,19,1,0,1,0
1.06,1.01,2.66,4.25,2.0,4.0,10.0,7.5,0,2,628.0,0.0253674,1,0.026525,0.0342552,0.0402885,163600.0,4,53795.0,19,1,0,1,0
0.91,0.85,0.95,5.0,3.0,2.0,11.5,17.5,0,4,628.0,0.0253674,1,0.026525,0.0342552,0.0402885,163600.0,4,53795.0,19,1,0,0,0
,,0.96,4.25,3.0,4.0,16.0,17.5,1,1,628.0,0.0253674,1,0.026525,0.0342552,0.0402885,163600.0,4,53795.0,19,1,1,0,0
1.06,0.85,1.06,4.25,3.0,2.0,11.5,15.0,0,4,5419.0,0.0440285,1,0.0497413,0.0502388,0.113924,128600.0,3,42361.0,19,1,0,0,0
0.91,0.85,2.34,4.25,3.0,3.0,10.0,19.0,1,2,3126.0,0.0353328,1,0.0497413,0.0502388,0.113924,128600.0,3,42361.0,19,1,0,1,0
1.06,1.01,2.66,4.5,3.0,4.0,11.0,10.5,0,2,792.0,0.0974464,1,0.1962366,0.1456063,0.1610329,147600.0,2,35277.0,23,1,0,1,0
0.91,0.91,2.34,4.25,3.0,3.0,10.5,8.0,0,2,3126.0,0.0353328,1,0.0428778,0.0292281,0.0579337,176400.0,3,60606.0,19,1,0,1,0
1.12,1.07,1.12,4.75,3.0,5.0,15.0,11.5,0,3,3126.0,0.0353328,1,0.0428778,0.0292281,0.0579337,176400.0,3,60606.0,19,1,0,0,1
1.1,0.94,1.04,5.0,4.0,3.0,16.0,28.5,1,1,1662.0,0.019477,1,0.0147634,0.0162512,0.0586081,226400.0,2,71621.0,19,1,1,0,0
1.06,1.01,2.66,4.5,4.0,4.0,11.0,9.5,0,2,5552.0,0.0774465,1,0.3015262,0.0642415,0.084454,136700.0,2,46272.0,19,1,0,1,0
1.09,0.95,1.04,4.25,3.0,3.0,16.0,18.0,1,1,2237.0,0.0439381,1,0.0048832,0.0148394,0.0435644,178400.0,3,55917.0,7,1,1,0,0
1.12,1.09,1.06,5.62,3.0,4.0,15.0,14.0,0,3,2237.0,0.0439381,1,0.0048832,0.0148394,0.0435644,178400.0,3,55917.0,7,1,0,0,1
1.06,0.95,0.95,4.5,4.0,2.0,16.0,10.0,0,1,462.0,0.0515021,1,0.0570457,0.0615117,0.0772214,161000.0,1,46700.0,21,1,1,0,0
1.06,0.95,0.95,5.25,4.0,3.0,17.0,19.5,0,1,1088.0,0.021141,1,0.001765,0.0200583,0.0435306,185500.0,1,63257.0,21,1,1,0,0
0.85,0.8,2.34,4.35,3.0,4.0,10.0,6.0,0,2,2256.0,0.0311576,1,0.0115167,0.033978,0.0566964,164400.0,3,50708.0,29,1,0,1,0
0.99,0.89,0.89,5.0,4.0,3.0,17.0,28.0,0,1,2256.0,0.0311576,1,0.0115167,0.033978,0.0566964,164400.0,3,50708.0,29,1,1,0,0
